Wall time,Step,Value
1607105950.262423,10330,0.0
1607105960.830509,10366,0.0
1607105969.027179,10394,0.0
1607105969.604729,10396,0.0
1607105969.889327,10397,0.0
1607105970.470584,10399,0.0
1607105972.214221,10405,0.0
1607105974.842768,10414,0.0
1607105976.605733,10420,0.0
1607105978.058787,10425,0.0
1607105986.541433,10454,0.0
1607105990.650084,10468,0.0
1607105993.848022,10479,0.0
1607105996.752158,10489,0.0
1607105997.904479,10493,0.0
1607105998.203004,10494,0.0
1607106006.408322,10522,0.0
1607106009.04739,10531,0.0
1607106011.395374,10539,0.0
1607106015.788207,10554,0.0
1607106016.080448,10555,0.0
1607106019.564366,10567,0.0
1607106028.654633,10598,0.0
1607106031.276312,10607,0.0
1607106035.062085,10620,0.0
1607106036.243592,10624,0.0
1607106037.706596,10629,0.0
1607106040.335885,10638,0.0
1607106042.689352,10646,0.0
1607106044.734239,10653,0.0
1607106045.030666,10654,0.0
1607106049.948898,10671,0.0
1607106058.771984,10701,0.0
1607106061.693225,10711,0.0
1607106072.52584,10748,0.0
1607106075.146365,10757,0.0
1607106075.442226,10758,0.0
1607106077.20499,10764,0.0
1607106081.899989,10780,0.0
1607106083.948327,10787,0.0
1607106092.164975,10815,0.0
1607106092.454122,10816,0.0
1607106095.084206,10825,0.0
1607106096.57725,10830,0.0
1607106099.809656,10841,0.0
1607106102.457555,10850,0.0
1607106106.535364,10864,0.0
1607106109.785371,10875,0.0
1607106117.721173,10902,0.0
1607106118.606756,10905,0.0
1607106121.25094,10914,0.0
1607106128.6093,10939,0.0
1607106129.774906,10943,0.0
1607106132.409404,10952,0.0
1607106136.486086,10966,0.0
1607106138.23583,10972,0.0
1607106138.819411,10974,0.0
1607106149.35772,11008,0.0
1607106151.146795,11014,0.0
1607106152.899177,11020,0.0
1607106153.481514,11022,0.0
1607106153.766668,11023,0.0
1607106156.69819,11033,0.0
1607106158.16139,11038,0.0
1607106162.242812,11052,0.0
1607106164.89117,11061,0.0
1607106169.564181,11077,0.0
1607106176.833825,11102,0.0
1607106182.351369,11121,0.0
1607106184.978275,11130,0.0
1607106190.292785,11148,0.0
1607106198.177658,11175,0.0
1607106204.949018,11198,0.0
1607106205.55102,11200,0.0
1607106205.840054,11201,0.0
1607106220.793623,11252,0.0
1607106223.133649,11260,0.0
1607106223.997181,11263,0.0
1607106226.607791,11272,0.0
1607106237.678376,11310,0.0
1607106246.787197,11341,0.0
1607106252.60778,11361,0.0
1607106256.676964,11375,0.0
1607106258.148991,11380,0.0
1607106267.217583,11411,0.0
1607106269.53945,11419,0.0
1607106270.128856,11421,0.0
1607106280.092316,11455,0.0
1607106280.977934,11458,0.0
1607106285.095658,11472,0.0
1607106285.988705,11475,0.0
1607106289.198596,11486,0.0
1607106290.982042,11492,0.0
1607106299.179956,11520,0.0
1607106300.056073,11523,0.0
1607106300.346185,11524,0.0
1607106302.122944,11530,0.0
1607106302.704496,11532,0.0
1607106307.707145,11549,0.0
1607106310.041998,11557,0.0
1607106312.670396,11566,0.0
1607106317.067314,11581,0.0
1607106321.794818,11597,0.0
1607106333.191521,11636,0.0
1607106336.725444,11648,0.0
1607106337.300615,11650,0.0
1607106340.216422,11660,0.0
1607106343.411662,11671,0.0
1607106345.443504,11678,0.0
1607106347.483517,11685,0.0
1607106348.072237,11687,0.0
1607106353.06802,11704,0.0
1607106358.65162,11723,0.0
1607106369.129903,11759,0.0
1607106372.058069,11769,0.0
1607106377.040491,11786,0.0
1607106378.796191,11792,0.0
1607106381.426439,11801,0.0
1607106390.234406,11831,0.0
1607106396.93125,11854,0.0
1607106397.217528,11855,0.0
1607106402.489747,11873,0.0
1607106410.670219,11901,0.0
1607106412.12583,11906,0.0
1607106415.960615,11919,0.0
1607106420.052052,11933,0.0
1607106422.398767,11941,0.0
1607106423.847629,11946,0.0
1607106424.423628,11948,0.0
1607106424.717943,11949,0.0
1607106430.592976,11969,0.0
1607106432.055078,11974,0.0
1607106436.110743,11988,0.0
1607106439.019393,11998,0.0
1607106440.83846,12003,0.0
1607106442.921407,12010,0.0
1607106448.512317,12029,0.0
1607106452.030735,12041,0.0
1607106462.201062,12076,0.0
1607106464.827636,12085,0.0
1607106478.837,12133,0.0
1607106480.298224,12138,0.0
1607106484.673434,12153,0.0
1607106487.898023,12164,0.0
1607106489.066354,12168,0.0
1607106493.737276,12184,0.0
1607106497.527733,12197,0.0
1607106503.401564,12217,0.0
1607106506.048352,12226,0.0
1607106508.403473,12234,0.0
1607106514.275147,12254,0.0
1607106518.972629,12270,0.0
1607106524.81454,12290,0.0
1607106525.682148,12293,0.0
1607106530.37064,12309,0.0
1607106535.043684,12325,0.0
1607106538.278557,12336,0.0
1607106555.827051,12396,0.0
1607106558.456095,12405,0.0
1607106558.746188,12406,0.0
1607106567.551948,12436,0.0
1607106573.143773,12455,0.0
1607106574.019336,12458,0.0
1607106580.456176,12480,0.0
1607106593.376887,12524,0.0
1607106599.486867,12545,0.0
1607106601.23061,12551,0.0
1607106601.822483,12553,0.0
1607106607.970928,12574,0.0
1607106614.438622,12596,0.0
1607106622.932972,12625,0.0
1607106636.377654,12671,0.0
1607106641.063962,12687,0.0
1607106644.532705,12699,0.0
1607106661.747493,12758,0.0
1607106666.456132,12774,0.0
1607106675.52175,12805,0.0
1607106677.855719,12813,0.0
1607106684.016606,12834,0.0
1607106691.380632,12859,0.0
1607106692.868455,12864,0.0
1607106696.675914,12877,0.0
1607106700.458792,12890,0.0
1607106702.210207,12896,0.0
1607106714.552836,12938,0.0
1607106714.853442,12939,0.0
1607106716.331214,12944,0.0
1607106720.707771,12959,0.0
1607106738.033462,13017,0.0
1607106743.025897,13034,0.0
1607106750.878244,13061,0.0
1607106751.160313,13062,0.0
1607106753.498157,13070,0.0
1607106757.000202,13082,0.0
1607106757.876399,13085,0.0
1607106760.503365,13094,0.0
1607106764.885454,13109,0.0
1607106766.053292,13113,0.0
1607106766.629028,13115,0.0
1607106770.992848,13130,0.0
1607106776.243029,13148,0.0
1607106781.501874,13166,0.0
1607106785.891172,13181,0.0
1607106788.807398,13191,0.0
1607106789.670787,13194,0.0
1607106793.140443,13206,0.0
1607106793.433579,13207,0.0
1607106794.59956,13211,0.0
1607106802.794815,13239,0.0
1607106810.768705,13265,0.0
1607106820.675973,13298,0.0
1607106825.297244,13313,0.0
1607106835.939434,13349,0.0
1607106837.434074,13354,0.0
1607106851.568228,13402,0.0
1607106852.74025,13406,0.0
1607106858.827743,13426,0.0
1607106872.982992,13474,0.0
1607106873.272444,13475,0.0
1607106881.139425,13501,0.0
1607106882.12006,13504,0.0
1607106894.736107,13546,0.0
1607106899.569603,13562,0.0
1607106910.11279,13597,0.0
1607106914.666983,13612,0.0
1607106917.001358,13620,0.0
1607106918.456753,13625,0.0
1607106918.745302,13626,0.0
